gene_name	rank
LIPK	6.80053147686751
LOC106559843	5.69510383711662
LOC102155529	4.67254666520267
GH1	4.50892390373329
PGB1	3.99380067573085
ZG16B	3.79330272477436
LOC111091188	3.58503250297226
SSTR5	3.18762046711529
RASGRF1	3.12097525285092
LOC111090873	3.06584291462597
LOC102155343	3.0138057352844
LOC119871500	2.80215507580949
LOC608929	2.80102532743784
LOC100688350	2.72563692517326
OTOR	2.65324954363636
ANGPTL7	2.63790883000533
LOC100688819	2.41941445778942
LOC111098290	2.28637780690152
LOC100688388	2.22546884864245
LOC111090181	2.22090267077578
NOX3	2.17083165139123
LOC111091067	2.1322243119541
LOC100686117	2.11482327758293
GPAT2	2.09298331650452
LOC100683514	2.08121346748659
LOC106559135	2.07765955677579
LOC106559852	2.06252519989978
LOC119874203	1.98154042019128
KIAA1549L	1.97910258529824
EVX1	1.96388417381016
LOC102151731	1.95598631115657
LOC100856583	1.9250258901728
WEE2	1.91709244666148
LOC106560154	1.91095315979848
GAST	1.89092621175304
LOC100855733	1.86018953180846
WIF1	1.79118476193441
SYT2	1.78570162653203
TRPM5	1.76794573390013
HCRTR2	1.76157125831333
C27H12orf40	1.74376623897527
LOC102151792	1.74275204634036
GRM4	1.74140955775651
PAK5	1.72467196535111
LOC119869758	1.70533919713896
TTC29	1.69497570757457
LOC484342	1.68956727734251
LOC111098413	1.67985247611159
SPOCK1	1.67873863485391
LOC111092308	1.67109032360293
SPOCD1	1.66646346049638
LOC102157206	1.65680163476748
LOC100688300	1.64831539195266
LOC119876877	1.63635334513162
ABCD2	1.62816430905836
LOC111090406	1.62016902662324
RIMS4	1.60603552519577
LOC111098288	1.56340097097183
OR4A47C	1.54339455366345
TRHDE	1.53548889846691
TRIM60	1.52729282943113
LOC106560206	1.51519139479806
NKAIN2	1.49608324509975
CCDC71L	1.49008279710892
KLK1	1.48231003854333
LOC478196	1.48154822511949
LOC102154368	1.4804696454128
SALL3	1.47738569234115
MAL	1.47663710149005
LOC102154724	1.46340465709934
LOC119880968	1.46042641160396
LOC111090946	1.45342407256296
CPLX4	1.44350444993918
MUC15	1.44334339434448
LOC111098765	1.44227377000532
NXPH1	1.43608312284386
COL23A1	1.42115856516519
LOC119873698	1.41891386318325
LOC610388	1.41808995832499
LOC102156530	1.41388191466979
LOC476149	1.40841957967282
LOC476070	1.40030810339291
LOC102152765	1.38120310390282
LOC119869644	1.36915010393993
LOC106559580	1.36586224024137
IFITM5	1.34660417047776
LOC111093133	1.34578480783742
CAPS2	1.33886598022598
LOC102156802	1.32821441902808
LOC474656	1.32596205195851
LOC111095162	1.3187472802618
CPA1	1.31645208530742
LOC610528	1.31288394972916
LOC119866123	1.3006674522014
LOC119870165	1.27785837148147
LOC106559427	1.27601178616374
LOC102152299	1.27408848302728
LOC102154529	1.26892087426879
LOC102152609	1.2682117629472
KASH5	1.26503543176947
LOC119870026	1.26424405674869
LOC111090069	1.26401909922662
LOC111091088	1.26119924326247
LOC119873595	1.26053859493064
LOC119869597	1.24399963268791
LOC119874893	1.23514316772457
ADCY1	1.23499987815288
LOC102156750	1.23157740659523
MGAM	1.22443780797384
LVRN	1.22220365579127
LOC111091119	1.22199238159121
OSR2	1.22178098067935
MUC7	1.22052190466093
LOC119864261	1.21866062016281
LOC119867543	1.21331060319792
LOC119874031	1.21312383079696
LOC106558157	1.21174234997983
LOC119869633	1.21148244235955
LOC100683228	1.20882287260381
IL13	1.20686518465907
LOC102155578	1.20503409324093
LOC100685891	1.19480692432602
LOC111091707	1.19344219880777
ELF5	1.18701519924336
LOC102152126	1.1803289776152
LOC119867244	1.17878353056271
ASCL2	1.17693165906372
LOC111098953	1.17257971299069
LOC119870698	1.16962199722582
LOC111098840	1.16317401162354
SMIM38	1.1623051589151
NT5E	1.16210868706604
SOGA3	1.16168939906078
LOC102156246	1.15358815565082
SOCS2	1.15136406919577
LOC102154808	1.14719136454385
TMEM178B	1.14504599903194
LOC102153673	1.14489051306889
LOC102155128	1.13740642191733
CHRNA5	1.13602060722868
LOC111096925	1.13407161964841
LOC102152328	1.13026324954129
LOC119872768	1.11537776821973
LOC102151735	1.11395814702551
LOC111095419	1.113586139491
LOC610632	1.11249122666165
APOC4	1.10869332286481
APOBEC2	1.1051562501889
LOC111096732	1.10211268250506
LOC102153805	1.09933726570765
ECM2	1.0982519572876
LOC111098263	1.09820626960653
SUGCT	1.09571836175677
IGFBP2	1.09480507674026
LOC106559922	1.0938737385145
SYT1	1.09339173970992
AMBP	1.08984711232935
ATP6V1B1	1.08883043246372
LOC119869524	1.08819831369787
LOC102151706	1.0881298831238
LOC100687635	1.08438948748816
CPNE9	1.0800762542863
LOC119873580	1.07742631415814
LOC106559509	1.07437412350903
CITED4	1.07100051374148
LOC102154232	1.07048810934125
LOC100684288	1.06985870210317
GUCA1A	1.06892776566318
LOC111099003	1.06672799881645
MUC16	1.06160184157449
LOC474739	1.05619363805806
LOC119865175	1.05606220928837
LOC106557830	1.05492451965966
MYH2	1.05458318487149
LOC111095132	1.05400117542228
LOC102156342	1.05299417019119
TBX15	1.04536573082952
NANOS1	1.04376657715203
LOC111097022	1.03706185483362
ANO1	1.03502142712845
LOC119879775	1.02770838766971
LOC608284	1.02290307111577
LOC119870740	1.02174907813664
GLYATL3	1.02067321278408
LOC102157323	1.02032794616956
SLC5A12	1.01507886252885
LOC102155796	1.01298042205634
SYCN	1.01193713602304
LOC106559627	1.01026440010763
LOC119870250	1.00112148579852
LOC102156910	1.0004954944791
LOC119872293	0.999945073272901
LOC100685504	0.999125373494278
