"gene_id","gene_name"
"gene-LOC100686719|LOC100686719","LOC100686719"
"gene-LOC111090594|LOC111090594","LOC111090594"
"gene-LOC483946|LOC483946","LOC483946"
"gene-LOC483947|LOC483947","LOC483947"
"gene-LOC119870629|LOC119870629","LOC119870629"
"gene-LOC119870085|LOC119870085","LOC119870085"
"gene-LOC100686966|LOC100686966","LOC100686966"
"gene-CDH19|CDH19","CDH19"
"gene-LOC102154255|LOC102154255","LOC102154255"
"gene-LOC119869888|LOC119869888","LOC119869888"
"gene-LOC111090601|LOC111090601","LOC111090601"
"gene-LOC100684751|LOC100684751","LOC100684751"
"gene-LOC119871403|LOC119871403","LOC119871403"
"gene-CDH7|CDH7","CDH7"
"gene-LOC119870704|LOC119870704","LOC119870704"
"gene-LOC111093764|LOC111093764","LOC111093764"
"gene-LOC607190|LOC607190","LOC607190"
"gene-LOC119878149|LOC119878149","LOC119878149"
"gene-LOC111093811|LOC111093811","LOC111093811"
"gene-SERPINB8|SERPINB8","SERPINB8"
"gene-SERPINB10|SERPINB10","SERPINB10"
"gene-SERPINB2|SERPINB2","SERPINB2"
"gene-LOC111093874|LOC111093874","LOC111093874"
"gene-SERPINB7|SERPINB7","SERPINB7"
"gene-LOC111093968|LOC111093968","LOC111093968"
"gene-SERPINB11|SERPINB11","SERPINB11"
"gene-LOC483954|LOC483954","LOC483954"
"gene-SERPINB13|SERPINB13","SERPINB13"
"gene-SERPINB12|SERPINB12","SERPINB12"
"gene-SERPINB5|SERPINB5","SERPINB5"
"gene-LOC119870705|LOC119870705","LOC119870705"
"gene-VPS4B|VPS4B","VPS4B"
"gene-KDSR|KDSR","KDSR"
"gene-BCL2|BCL2","BCL2"
"gene-LOC111094459|LOC111094459","LOC111094459"
"gene-LOC119870706|LOC119870706","LOC119870706"
"gene-LOC111094480|LOC111094480","LOC111094480"
"gene-LOC111094334|LOC111094334","LOC111094334"
"gene-LOC119870631|LOC119870631","LOC119870631"
"gene-LOC111094496|LOC111094496","LOC111094496"
"gene-LOC119870707|LOC119870707","LOC119870707"
"gene-LOC100687530|LOC100687530","LOC100687530"
"gene-PHLPP1|PHLPP1","PHLPP1"
"gene-LOC119870708|LOC119870708","LOC119870708"
"gene-LOC119870709|LOC119870709","LOC119870709"
"gene-LOC102155763|LOC102155763","LOC102155763"
"gene-LOC119870632|LOC119870632","LOC119870632"
"gene-LOC111094566|LOC111094566","LOC111094566"
"gene-ZCCHC2|ZCCHC2","ZCCHC2"
"gene-LOC111094618|LOC111094618","LOC111094618"
"gene-LOC119870710|LOC119870710","LOC119870710"
"gene-TNFRSF11A|TNFRSF11A","TNFRSF11A"
"gene-LOC106558834|LOC106558834","LOC106558834"
"gene-LOC100687907|LOC100687907","LOC100687907"
"gene-RELCH|RELCH","RELCH"
"gene-PPIAP1|PPIAP1","PPIAP1"
"gene-LOC119869845|LOC119869845","LOC119869845"
"gene-PIGN|PIGN","PIGN"
"gene-LOC102153530|LOC102153530","LOC102153530"
"gene-LOC119870634|LOC119870634","LOC119870634"
"gene-LOC100682754|LOC100682754","LOC100682754"
"gene-LOC609896|LOC609896","LOC609896"
"gene-LOC111090609|LOC111090609","LOC111090609"
"gene-RNF152|RNF152","RNF152"
"gene-LOC111094787|LOC111094787","LOC111094787"
"gene-LOC119870711|LOC119870711","LOC119870711"
"gene-LOC119870712|LOC119870712","LOC119870712"
"gene-LOC119870635|LOC119870635","LOC119870635"
"gene-CDH20|CDH20","CDH20"
"gene-LOC111094796|LOC111094796","LOC111094796"
"gene-LOC119870714|LOC119870714","LOC119870714"
"gene-LOC119870713|LOC119870713","LOC119870713"
"gene-LOC119870715|LOC119870715","LOC119870715"
"gene-LOC111090610|LOC111090610","LOC111090610"
"gene-LOC119869959|LOC119869959","LOC119869959"
"gene-LOC100688146|LOC100688146","LOC100688146"
"gene-LOC483960|LOC483960","LOC483960"
"gene-MC4R|MC4R","MC4R"
"gene-LOC119869907|LOC119869907","LOC119869907"
"gene-LOC100688291|LOC100688291","LOC100688291"
"gene-LOC119869864|LOC119869864","LOC119869864"
"gene-PMAIP1|PMAIP1","PMAIP1"
"gene-LOC119870716|LOC119870716","LOC119870716"
"gene-CCBE1|CCBE1","CCBE1"
"gene-LOC119870717|LOC119870717","LOC119870717"
"gene-LOC119872244|LOC119872244","LOC119872244"
"gene-LMAN1|LMAN1","LMAN1"
"gene-CPLX4|CPLX4","CPLX4"
"gene-RAX|RAX","RAX"
"gene-LOC119869927|LOC119869927","LOC119869927"
"gene-GRP|GRP","GRP"
"gene-SEC11C|SEC11C","SEC11C"
"gene-LOC119870637|LOC119870637","LOC119870637"
"gene-LOC610160|LOC610160","LOC610160"
"gene-ZNF532|ZNF532","ZNF532"
"gene-LOC119870718|LOC119870718","LOC119870718"
"gene-MALT1|MALT1","MALT1"
"gene-LOC100684262|LOC100684262","LOC100684262"
"gene-LOC119869880|LOC119869880","LOC119869880"
"gene-ALPK2|ALPK2","ALPK2"
"gene-LOC102151902|LOC102151902","LOC102151902"
"gene-MIR122|MIR122","MIR122"
"gene-NEDD4L|NEDD4L","NEDD4L"
"gene-LOC119870720|LOC119870720","LOC119870720"
"gene-LOC119870721|LOC119870721","LOC119870721"
"gene-LOC111097471|LOC111097471","LOC111097471"
"gene-ATP8B1|ATP8B1","ATP8B1"
"gene-LOC111095132|LOC111095132","LOC111095132"
"gene-NARS1|NARS1","NARS1"
"gene-FECH|FECH","FECH"
"gene-ONECUT2|ONECUT2","ONECUT2"
"gene-LOC119870722|LOC119870722","LOC119870722"
"gene-ST8SIA3|ST8SIA3","ST8SIA3"
"gene-WDR7|WDR7","WDR7"
"gene-LOC111095146|LOC111095146","LOC111095146"
"gene-LOC612779|LOC612779","LOC612779"
"gene-TXNL1|TXNL1","TXNL1"
"gene-LOC119869865|LOC119869865","LOC119869865"
"gene-LOC111095152|LOC111095152","LOC111095152"
"gene-LOC111095155|LOC111095155","LOC111095155"
"gene-LOC111090613|LOC111090613","LOC111090613"
"gene-LOC102153304|LOC102153304","LOC102153304"
"gene-LOC111090614|LOC111090614","LOC111090614"
"gene-LOC119870639|LOC119870639","LOC119870639"
"gene-LOC111090615|LOC111090615","LOC111090615"
"gene-LOC102153337|LOC102153337","LOC102153337"
"gene-LOC119870640|LOC119870640","LOC119870640"
"gene-TCF4|TCF4","TCF4"
"gene-CCDC68|CCDC68","CCDC68"
"gene-LOC111095166|LOC111095166","LOC111095166"
"gene-RAB27B|RAB27B","RAB27B"
"gene-LOC610632|LOC610632","LOC610632"
"gene-LOC111095168|LOC111095168","LOC111095168"
"gene-LOC111095182|LOC111095182","LOC111095182"
"gene-CUPIN1|CUPIN1","CUPIN1"
"gene-C1H18orf54|C1H18orf54","C1H18orf54"
"gene-STARD6|STARD6","STARD6"
"gene-LOC100683370|LOC100683370","LOC100683370"
"gene-POLI|POLI","POLI"
"gene-LOC102154410|LOC102154410","LOC102154410"
"gene-MBD2|MBD2","MBD2"
"gene-LOC106559491|LOC106559491","LOC106559491"
"gene-LOC119870641|LOC119870641","LOC119870641"
"gene-LOC119869910|LOC119869910","LOC119869910"
"gene-LOC102154621|LOC102154621","LOC102154621"
"gene-LOC119870642|LOC119870642","LOC119870642"
"gene-DCC|DCC","DCC"
"gene-LOC119869846|LOC119869846","LOC119869846"
"gene-LOC119869925|LOC119869925","LOC119869925"
"gene-LOC119869917|LOC119869917","LOC119869917"
"gene-LOC106558192|LOC106558192","LOC106558192"
"gene-LOC111090624|LOC111090624","LOC111090624"
"gene-LOC100683470|LOC100683470","LOC100683470"
"gene-LOC106559494|LOC106559494","LOC106559494"
"gene-LOC111095203|LOC111095203","LOC111095203"
"gene-LOC102154698|LOC102154698","LOC102154698"
"gene-LOC119869847|LOC119869847","LOC119869847"
"gene-LOC119870725|LOC119870725","LOC119870725"
"gene-LOC119870724|LOC119870724","LOC119870724"
"gene-LOC119870726|LOC119870726","LOC119870726"
"gene-MEX3C|MEX3C","MEX3C"
"gene-SMAD4|SMAD4","SMAD4"
"gene-ELAC1|ELAC1","ELAC1"
"gene-LOC111095221|LOC111095221","LOC111095221"
"gene-ME2|ME2","ME2"
"gene-LOC106559532|LOC106559532","LOC106559532"
"gene-LOC111095227|LOC111095227","LOC111095227"
"gene-MC2R|MC2R","MC2R"
"gene-MC5R|MC5R","MC5R"
"gene-RNMT|RNMT","RNMT"
"gene-FAM210A|FAM210A","FAM210A"
"gene-LDLRAD4|LDLRAD4","LDLRAD4"
"gene-LOC119870728|LOC119870728","LOC119870728"
"gene-LOC119870645|LOC119870645","LOC119870645"
"gene-CCN2|CCN2","CCN2"
"gene-LOC119870729|LOC119870729","LOC119870729"
"gene-LOC102156553|LOC102156553","LOC102156553"
"gene-LOC100686253|LOC100686253","LOC100686253"
"gene-LOC111095255|LOC111095255","LOC111095255"
"gene-LOC119869954|LOC119869954","LOC119869954"
"gene-LOC111095250|LOC111095250","LOC111095250"
"gene-LOC476204|LOC476204","LOC476204"
"gene-LOC119870646|LOC119870646","LOC119870646"
"gene-LOC491231|LOC491231","LOC491231"
"gene-LOC100684412|LOC100684412","LOC100684412"
"gene-MOXD1|MOXD1","MOXD1"
"gene-LOC111095249|LOC111095249","LOC111095249"
